,item,item_name,era,style,gender,season,tpo,fit,brightness,temperature,weight,nice_nice,nice_no,urban_no,urban_urban,trendy_no,trendy_trendy,sophisticated_no,sophisticated_sophisticated,clean_clean,clean_no,magnificent_magnificent,magnificent_no,unique_no,unique_unique,easy_easy,easy_no,open_no,open_open mined,practical_no,practical_practical,activity_activity,activity_no,comfortable_comfortable,comfortable_no,bubbly_bubbly,bubbly_no,feminine_feminine,feminine_no,manly_manly,manly_no,soft_no,soft_soft
49,49,W_00060_70_hippie_M.jpg,1970,hippie,M,winter,etc,loose,dark,cold,heavy,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
50,50,W_00062_00_metrosexual_M.jpg,2000,metrosexual,M,spring fall,date,appropriate,bright,warm,light,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
51,51,W_00063_19_normcore_M.jpg,2019,normcore,M,spring fall,date,loose,bright,warm,heavy,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
52,52,W_00064_19_normcore_M.jpg,2019,normcore,M,spring fall,date,appropriate,bright,warm,light,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
53,53,W_00066_00_metrosexual_M.jpg,2000,metrosexual,M,spring fall,event social gathering,appropriate,dark,cold,heavy,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
54,54,W_00067_60_mods_M.jpg,1960,mods,M,spring fall,event,appropriate,bright,warm,light,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
55,55,W_00068_19_genderless_W.jpg,2019,genderless,W,spring fall winter,daily,appropriate,bright dark,cold warm,heavy light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
56,56,W_00069_10_sportivecasual_M.jpg,2010,sportivecasual,M,summer,social trip vacation,loose,dark,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0
57,57,W_00070_60_mods_M.jpg,1960,mods,M,summer,social gathering,tight,bright,warm,light,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
58,58,W_00071_50_ivy_M.jpg,1950,ivy,M,spring fall,leisure sports,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
59,59,W_00072_90_hiphop_M.jpg,1990,hiphop,M,spring fall,daily,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0
60,60,W_00073_50_ivy_M.jpg,1950,ivy,M,spring fall winter,daily date,appropriate tight,bright dark,warm,heavy light,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0
61,61,W_00076_50_ivy_M.jpg,1950,ivy,M,spring fall,attendance,appropriate tight,bright dark,cold warm,light,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0
62,62,W_00077_10_sportivecasual_M.jpg,2010,sportivecasual,M,spring fall,daily,appropriate,dark,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
63,63,W_00078_50_ivy_M.jpg,1950,ivy,M,spring fall summer,daily date event social gathering,appropriate loose,bright dark,cold warm,heavy light,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
64,64,W_00079_60_mods_M.jpg,1960,mods,M,spring fall,attendance,tight,bright,cold,heavy,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
65,65,W_00081_19_normcore_M.jpg,2019,normcore,M,spring fall,date,appropriate,bright,warm,light,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
66,66,W_00084_90_hiphop_M.jpg,1990,hiphop,M,spring fall winter,daily,appropriate loose,bright,warm,light,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0
67,67,W_00086_90_hiphop_M.jpg,1990,hiphop,M,summer,leisure sports,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
68,68,W_00088_10_sportivecasual_M.jpg,2010,sportivecasual,M,summer,daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
69,69,W_00092_19_normcore_M.jpg,2019,normcore,M,spring fall,daily,loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
70,70,W_00093_70_hippie_M.jpg,1970,hippie,M,spring fall,daily social trip vacation,appropriate tight,bright,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
71,71,W_00094_90_hiphop_M.jpg,1990,hiphop,M,summer,daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
72,72,W_00096_90_hiphop_M.jpg,1990,hiphop,M,summer,daily leisure sports,appropriate tight,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
73,73,W_00097_90_hiphop_M.jpg,1990,hiphop,M,spring fall,social trip vacation,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
74,74,W_00098_90_hiphop_M.jpg,1990,hiphop,M,spring fall,social trip vacation,loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1
75,75,W_00101_19_normcore_M.jpg,2019,normcore,M,spring fall,date,appropriate,bright,warm,light,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
76,76,W_00102_90_hiphop_M.jpg,1990,hiphop,M,summer,daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
77,77,W_00103_70_hippie_M.jpg,1970,hippie,M,summer,daily social trip vacation,appropriate loose,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
78,78,W_00104_10_sportivecasual_M.jpg,2010,sportivecasual,M,spring fall,attendance daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1
79,79,W_00105_00_metrosexual_M.jpg,2000,metrosexual,M,summer,daily,appropriate,bright dark,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0
80,80,W_00106_90_hiphop_M.jpg,1990,hiphop,M,spring fall,daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
81,81,W_00107_00_metrosexual_M.jpg,2000,metrosexual,M,spring fall,social gathering,tight,dark,warm,heavy,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
82,82,W_00108_10_sportivecasual_M.jpg,2010,sportivecasual,M,spring fall,daily,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1
83,83,W_00109_90_hiphop_M.jpg,1990,hiphop,M,spring fall winter,daily,appropriate,bright dark,cold,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0
84,84,W_00110_10_sportivecasual_M.jpg,2010,sportivecasual,M,summer,leisure sports,appropriate,bright,cold,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
85,85,W_00112_10_sportivecasual_M.jpg,2010,sportivecasual,M,spring fall,leisure sports,tight,dark,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
86,86,W_00113_90_hiphop_M.jpg,1990,hiphop,M,summer,daily social trip vacation,appropriate tight,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1
87,87,W_00116_10_sportivecasual_M.jpg,2010,sportivecasual,M,spring fall,daily,loose,bright,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
88,88,W_00117_19_normcore_M.jpg,2019,normcore,M,spring fall,daily,appropriate,dark,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
89,89,W_00118_90_kitsch_W.jpg,1990,kitsch,W,spring fall summer,daily social gathering,appropriate,bright,warm,light,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0
90,90,W_00119_50_feminine_W.jpg,1950,feminine,W,spring fall,date,appropriate,bright,cold,heavy,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
91,91,W_00120_50_feminine_W.jpg,1950,feminine,W,summer,date social gathering,appropriate tight,bright dark,cold,heavy light,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
92,92,W_00121_90_lingerie_W.jpg,1990,lingerie,W,spring fall summer,date event social gathering,appropriate tight,bright dark,cold warm,light,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0
93,93,W_00122_50_feminine_W.jpg,1950,feminine,W,summer,event,appropriate,dark,cold,light,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
94,94,W_00124_60_minimal_W.jpg,1960,minimal,W,summer,daily date social trip vacation,appropriate,bright,warm,light,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
95,95,W_00125_60_minimal_W.jpg,1960,minimal,W,spring fall summer,attendance daily event social gathering,appropriate tight,bright dark,cold,heavy light,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
96,96,W_00127_50_feminine_W.jpg,1950,feminine,W,spring fall,date event,tight,dark,cold,heavy,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1
97,97,W_00128_70_military_W.jpg,1970,military,W,summer,attendance date,tight,bright,cold warm,light,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
98,98,W_00129_60_minimal_W.jpg,1960,minimal,W,summer,attendance daily date,appropriate loose,bright dark,cold warm,light,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
99,99,W_00130_50_feminine_W.jpg,1950,feminine,W,summer,social trip vacation,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0
100,100,W_00131_00_ecology_W.jpg,2000,ecology,W,summer,daily event,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1
101,101,W_00132_50_feminine_W.jpg,1950,feminine,W,summer,event social gathering,appropriate,bright,cold,light,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0
102,102,W_00134_50_feminine_W.jpg,1950,feminine,W,summer,date,appropriate,bright,warm,light,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1
103,103,W_00135_50_feminine_W.jpg,1950,feminine,W,summer,event,appropriate,dark,cold,heavy,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0
104,104,W_00136_90_kitsch_W.jpg,1990,kitsch,W,spring fall,date social gathering,appropriate,bright,warm,heavy light,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
105,105,W_00137_50_feminine_W.jpg,1950,feminine,W,spring fall,attendance,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
106,106,W_00138_50_classic_W.jpg,1950,classic,W,spring fall,event,tight,bright,cold,heavy,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
107,107,W_00139_00_ecology_W.jpg,2000,ecology,W,summer,daily date,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1
108,108,W_00140_00_oriental_W.jpg,2000,oriental,W,spring fall,date social gathering,appropriate,bright,warm,light,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1
109,109,W_00141_00_cityglam_W.jpg,2000,cityglam,W,summer,social trip vacation,tight,dark,cold,light,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
110,110,W_00142_90_lingerie_W.jpg,1990,lingerie,W,summer,etc social trip vacation,appropriate tight,bright,cold warm,light,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1
111,111,W_00143_50_feminine_W.jpg,1950,feminine,W,summer,event,tight,dark,cold,heavy,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
112,112,W_00144_70_disco_W.jpg,1970,disco,W,summer,daily social gathering,appropriate loose,bright dark,cold warm,heavy light,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0
